complex.connection-incidence	complex	(d_A φ)_e = g_e φ(t e) − φ(s e);  Σ_walk d_A φ = T_walk φ(b) − φ(a)	the connection-valued incidence; its covariant difference telescopes along any walk	edge transports g_e ∈ 𝕜ˣ	L:Holon/Complex:connectionIncidence; L:Holon/Complex:walkRead_connection; R:holonics::geometry::complex::ConnectionIncidence	formal-checked	
landmark.identity-kernel	landmark, receiver, compression	identity(c₁, c₂) :⇔ F c₁ = F c₂;  face_V : K[x_σ] → (V → K), p ↦ p|_V:  identity(p, q) ⇔ p − q ∈ ker face_V ⇔ (p − q)|_V = 0;  σ finite ⇒ ker face_V finitely generated;  compile[1,1,1] = compile[1/2, 3, 2/3] with distinct interiors	an identity is two constructions with one face; the identities of a configuration are the kernel of its face map, finitely generated by Hilbert's basis theorem	field K; finitely many variables for finite generation	L:Compression/Landmark/Identity:IsIdentity; L:Compression/Landmark/Identity:identity_iff_sub_mem_identityIdeal; L:Compression/Landmark/Identity:mem_identityIdeal_iff; L:Compression/Landmark/Identity:identityIdeal_fg; L:Compression/Landmark/Identity:ratio_routes_are_an_identity; R:holonics::compression::landmark::IdentityAtlas::is_identity; R:holonics::compression::landmark::IdentityAtlas::certify; R:holonics::compression::landmark::RatioBlock::compile	formal-checked	uses:series.block-fibre
landmark.coverage-law	landmark, receiver	charts χ_i : P_i → Kˢ, image W = ⋃_i χ_i(P_i):  χ certifies p ⇔ p ∈ I(W);  (∀p, χ certifies p ⇔ p ∈ I(V)) ⇔ I(W) = I(V);  W ⊆ V ⇒ (I(W) = I(V) ⇔ V ⊆ Z(I(W)));  arbitrary receivers X → R: (∀f, certified ⇒ f|_V = 0) ⇔ V ⊆ W	a chart family certifies exactly the polynomial identities of a configuration exactly when its images are Zariski dense in it, checked per component: missing a point is harmless, missing a component is not; only arbitrary (non-polynomial) receivers need pointwise covering	polynomial receivers over a field; the pointwise form for receiver values with 0 ≠ 1	L:Compression/Landmark/Identity:certified_eval_iff; L:Compression/Landmark/Identity:certifies_exactly_iff; L:Compression/Landmark/Identity:zariskiClosure; L:Compression/Landmark/Identity:identityIdeal_eq_iff_dense; L:Compression/Landmark/Identity:identityIdeal_antitone; L:Compression/Landmark/Identity:certified_of_vanishes; L:Compression/Landmark/Identity:vanishes_of_certified; L:Compression/Landmark/Identity:certification_sound_iff_covers; R:holonics::compression::landmark::IdentityAtlas::check_coverage; R:holonics::compression::landmark::IdentityAtlas::search	formal-checked	uses:landmark.identity-kernel
landmark.one-winding-invents	landmark, receiver, cycle	k = 0 fibre C² = 1: principal chart e = 1 certifies C − 1, yet the half-turn point lies on the fibre with C = −1;  I(fibre) < I(principal image), C − 1 in the second;  charts e = ±1 with t = S·C/2 cover it, I(two-winding image) = I(fibre), and certify exactly its identities;  C² − 1 ∈ ker face, C − 1 ∉ ker face	a chart family that misses a component has a strictly larger identity ideal and invents an identity; the multi-winding family refuses it	two-sided angle at k = 0 over ℚ	L:Compression/Landmark/Identity:principal_winding_invents_an_identity; L:Compression/Landmark/Identity:principal_image_ideal_strictly_larger; L:Compression/Landmark/Identity:two_windings_cover; L:Compression/Landmark/Identity:two_windings_image_ideal; L:Compression/Landmark/Identity:two_windings_certify_exactly; L:Compression/Landmark/Identity:galilean_identity_ideal; R:holonics::compression::landmark::IdentityAtlas::check_coverage; R:holonics::compression::landmark::IdentityAtlas::chart_span	counterexample	instance-of:landmark.coverage-law, uses:phase.galilean-chart-not-fibre, uses:phase.two-sided-pythagoras
landmark.block-monoid	landmark, navigator	(a∘b)∘c = a∘(b∘c);  (0,1,0)∘b = b = b∘(0,1,0);  compile(u ++ v) = compile u ∘ compile v;  execute(u ++ v) s = execute v (execute u s);  t_(i+1) = r_i t_i ⇒ compile(r₀ … r_(n−1)).act(t₀, t₀) = (t_n, Σ_(i≤n) t_i)	ratio-series blocks form a monoid, so every bracketing of a ratio word (binary splitting) compiles to one partial navigator, which returns the convergent	exact ℚ	L:Compression/Landmark/ConstraintIdentity:compose_assoc; L:Compression/Landmark/ConstraintIdentity:unit_compose; L:Compression/Landmark/ConstraintIdentity:compose_unit; L:Compression/Landmark/ConstraintIdentity:execute_append; L:Compression/Landmark/ConstraintIdentity:compile_append; L:Compression/Landmark/ConstraintIdentity:execute_ratioWord; L:Compression/Landmark/ConstraintIdentity:partial_navigator_act; R:holonics::compression::landmark::RatioBlock	formal-checked	uses:arith.ratio-series-block, uses:series.block-future
landmark.window-finite-block	landmark, receiver	bᵏ⁺ˡx ∉ ℤ, L_N ≤ x ≤ U_N, U_N − L_N → 0 ⇒ ∃N: ⌊bᵏ⁺ˡL_N⌋ = ⌊bᵏ⁺ˡU_N⌋ and window_b(k, l, x) = ⌊bᵏ⁺ˡL_N⌋ mod bˡ;  x irrational ⇒ bᵏ⁺ˡx ∉ ℤ;  1 − 1/(N+1) ≤ 1 ≤ 1: ⌊10(1 − 1/(N+1))⌋ ≠ ⌊10⌋ ∀N	an off-grid value's digit window is certified at a finite block of a shrinking enclosure; the one-sided enclosure 1 − 1/(N+1) ≤ 1 ≤ 1 of an on-grid value never certifies, while an exact enclosure L = U = x certifies at once	b > 0	L:Compression/Landmark/ConstraintIdentity:window_of_enclosure; L:Compression/Landmark/ConstraintIdentity:off_grid_of_irrational; L:Compression/Landmark/ConstraintIdentity:on_grid_never_certifies; R:holonics::compression::landmark::certify_window; R:holonics::compression::landmark::WindowCertificate	formal-checked	uses:radix.window-certificate, uses:radix.window
landmark.e-partial-navigator	landmark, navigator	r_i = 1/(i+1), t_i = 1/i!, s_N = Σ_(i≤N) t_i, U_N = s_N + (N+2)/((N+1)!(N+1)):  s_N + 1/(N+1)! ≤ e ≤ U_N;  s_N → e;  e ∉ ℚ (N!(e − s_N) ∈ (0, 1) ∩ ℤ at N = den);  ⌊bᵏ⁺ˡ s_N⌋ = ⌊bᵏ⁺ˡ U_N⌋ ⇒ window_b(k, l, e) = ⌊bᵏ⁺ˡ s_N⌋ mod bˡ;  ∀b > 0, k, l ∃N with that certificate;  window_10(0, 1, e) = 7 ≠ 0 = ⌊10 s_0⌋ mod 10	e is the limit of its partial navigator's convergents, its own enclosure proves it irrational, and every digit window is certified by the floors of both ends of a finite block's enclosure; a block without the certificate misreads	exact ℚ convergents; the certificate is a rational floor equality	L:Compression/Landmark/ConstraintIdentity:eTerm_succ; L:Compression/Landmark/ConstraintIdentity:eConvergent_eq; L:Compression/Landmark/ConstraintIdentity:e_enclosure; L:Compression/Landmark/ConstraintIdentity:e_width_tendsto; L:Compression/Landmark/ConstraintIdentity:e_convergents_tendsto; L:Compression/Landmark/ConstraintIdentity:exp_one_irrational; L:Compression/Landmark/ConstraintIdentity:eUpper; L:Compression/Landmark/ConstraintIdentity:e_window_certified; L:Compression/Landmark/ConstraintIdentity:e_window_certificate_exists; L:Compression/Landmark/ConstraintIdentity:uncertified_block_misreads; R:holonics::compression::landmark::ConstraintIdentity::window	formal-checked	instance-of:landmark.exponential-mode, uses:landmark.block-monoid, uses:landmark.window-finite-block
landmark.pi-partial-navigator	landmark, navigator	π = 16 arctan(1/5) − 4 arctan(1/239);  arm x: r_i = arctanRatio x i = −x²(2i+1)/(2i+3), t_i = (−1)ⁱx^(2i+1)/(2i+1), S_n = Σ_(i≤n) t_i, 0 ≤ x < 1 ⇒ S_(2N+1) ≤ arctan x ≤ S_(2N);  L_N = 16S⁽⁵⁾_(2N+1) − 4S⁽²³⁹⁾_(2N) ≤ π ≤ 16S⁽⁵⁾_(2N) − 4S⁽²³⁹⁾_(2N+1) = U_N;  U_N − L_N → 0, L_N → π;  ⌊bᵏ⁺ˡ L_N⌋ = ⌊bᵏ⁺ˡ U_N⌋ ⇒ window_b(k, l, π) = ⌊bᵏ⁺ˡ L_N⌋ mod bˡ;  ∀b > 0, k, l ∃N with that certificate	π is the limit of Machin's partial navigators, each arm bracketed by consecutive partial sums, and every digit window is certified by the floors of both ends of a finite block's enclosure	exact ℚ convergents; the arm 1/5 gains log₁₀ 25 digits per ratio	L:Compression/Landmark/ConstraintIdentity:armSum_eq; L:Compression/Landmark/ConstraintIdentity:arm_enclosure; L:Compression/Landmark/ConstraintIdentity:armSum_tendsto; L:Compression/Landmark/ConstraintIdentity:machin; L:Compression/Landmark/ConstraintIdentity:pi_enclosure; L:Compression/Landmark/ConstraintIdentity:pi_width_tendsto; L:Compression/Landmark/ConstraintIdentity:pi_convergents_tendsto; L:Compression/Landmark/ConstraintIdentity:pi_window_certified; L:Compression/Landmark/ConstraintIdentity:pi_window_certificate_exists; R:holonics::compression::landmark::ConstraintIdentity::window	formal-checked	uses:series.arctan-ratio, uses:landmark.block-monoid, uses:landmark.window-finite-block
landmark.primitive-cycle-count	landmark, cycle, navigator, aeon	f : α → α, |α| < ∞, p_d = #{periodic orbits of least period d}:  #{x | least period d} = d·p_d;  tr(M_fⁿ) = #{x | fⁿx = x} = Σ_(d∣n) d·p_d;  d·p_d = Σ_(ab=d) μ(a)·N_b;  d > |α| ⇒ p_d = 0;  [[−1]]: N₁ = −1 is no map's count	primitive cycles are the primes of a return map: every closed aeon repeats exactly one, and Möbius inversion recovers them from the cycle counts	n, d ≥ 1; 0/1 matrix of a map	L:Compression/Landmark/PrimitiveCycle:primitiveCycles; L:Compression/Landmark/PrimitiveCycle:primitiveCount; L:Compression/Landmark/PrimitiveCycle:card_minimalPeriod_eq; L:Compression/Landmark/PrimitiveCycle:periodic_count; L:Compression/Landmark/PrimitiveCycle:trace_pow_eq_primitive; L:Compression/Landmark/PrimitiveCycle:primitive_count_moebius; L:Compression/Landmark/PrimitiveCycle:primitiveCount_eq_zero_of_card_lt; L:Compression/Landmark/PrimitiveCycle:signed_map_has_no_primitive_cycles; R:holonics::compression::landmark::ReturnOccurrences::primitive_counts; R:holonics::compression::landmark::ReturnOccurrences::primitive_cycles; R:holonics::compression::landmark::ReturnOccurrences::of_zero_one	formal-checked	uses:aeon.zeta-map-periodic-points
landmark.euler-product	landmark, cycle, navigator, aeon	F′ = F·A, G′ = G·A, F(0) = G(0) ≠ 0 ⇒ F = G;  (1 − T^d)′ = (1 − T^d)·(−Σ_k d·[d ∣ k+1]Tᵏ);  det(1 − T·M_f) = ∏_(d=1)^(|α|) (1 − T^d)^(p_d);  exp(Σ_n N_n Tⁿ/n) · ∏_d (1 − T^d)^(p_d) = 1	the return-map zeta is the Euler product over primitive cycles, ζ(T) = ∏_γ (1 − T^|γ|)⁻¹, by the log/trace identity	ℚ⟦T⟧; finite map	L:Compression/Landmark/PrimitiveCycle:HasLogDeriv.unique; L:Compression/Landmark/PrimitiveCycle:cycleFactor_logDeriv; L:Compression/Landmark/PrimitiveCycle:one_sub_X_pow_mul_cycleCurrent; L:Compression/Landmark/PrimitiveCycle:transfer_determinant_euler_product_series; L:Compression/Landmark/PrimitiveCycle:transfer_determinant_euler_product; L:Compression/Landmark/PrimitiveCycle:zeta_euler_product; R:holonics::compression::landmark::ReturnOccurrences::euler_product	formal-checked	uses:aeon.zeta-exp, uses:aeon.zeta-log-derivative, uses:landmark.primitive-cycle-count, instance-of:navigator.zeta
compression.description-code	compression, navigator	describe(i) = toBits(⌈log₂ #steps⌉, step) ++ toBits(⌈log₂ #configurations⌉, initial) ++ toBits(⌈log₂ #reads⌉, read);  |describe i| = descriptionBits;  readIndex(describe i ++ r) = some (i, r);  describe injective;  release(code p, |m|) = some m;  readLiteral(|m|, literalCode m) = some m	a codec's description is an actual fixed-width code the decoder reads back, so the pivot's code alone releases the material; the literal is a code too	declared finite codec families; ofBits(toBits w n) = n mod 2ʷ	L:Compression/Core/Cost:toBits; L:Compression/Core/Cost:ofBits; L:Compression/Core/Cost:ofBits_toBits; L:Compression/Core/Cost:readField_toBits; L:Compression/Core/Cost:CodecFamily.describe; L:Compression/Core/Cost:CodecFamily.describe_length; L:Compression/Core/Cost:CodecFamily.readIndex_describe; L:Compression/Core/Cost:CodecFamily.ofDescription_describe; L:Compression/Core/Cost:CodecFamily.describe_injective; L:Compression/Core/Cost:CodecPivot.release_code; L:Compression/Core/Cost:literalCode_length; L:Compression/Core/Cost:readLiteral_literalCode; R:holonics::compression::NavigatorCodec::description; R:holonics::compression::CodecFamily::codec_of; R:holonics::compression::Alphabet::literal; R:holonics::compression::Alphabet::read_literal	formal-checked	instance-of:compression.codec-pivot, uses:compression.navigator-codec-causal
compression.partial-pivot	compression, navigator, constitution	partialCode(i, m) = describe i ++ toBits(⌈log₂(n+1)⌉, #founded) ++ (position, symbol) patches;  |partialCode| = descriptionBits + ⌈log₂(n+1)⌉ + #founded·(⌈log₂ n⌉ + ⌈log₂ |A|⌉);  partialRelease(partialCode(i, m), n) = some m;  founded = [] ⇔ the codec regenerates m;  one flipped face in 64: 19 + 6 = 25 < 64;  (false, false, true): every partial code ≥ its literal 3	RIDE and FOUND in bits: faces the navigator regenerates ride on its description at no further bit, each founded face adds exactly one patch, and the decoder releases every material from its partial code; only the codec's residual is priced	any codec of a declared family and any material over a finite alphabet; no bit price is asserted for the resonance work or the linear face map's cokernel	L:Compression/Core/Cost:foundedFaces; L:Compression/Core/Cost:foundedFaces_eq_nil_iff; L:Compression/Core/Cost:CodecFamily.partialCode; L:Compression/Core/Cost:CodecFamily.partialCode_length; L:Compression/Core/Cost:CodecFamily.partialRelease; L:Compression/Core/Cost:CodecFamily.partialRelease_partialCode; L:Compression/Core/Cost:one_founded_face_pays_off; L:Compression/Core/Cost:outside_material_stays_literal; R:holonics::compression::NavigatorCodec::partial_pivot; R:holonics::compression::CodecFamily::release	formal-checked	instance-of:compression.resonate-emanate, uses:compression.description-code, uses:compression.kt-pays-off
compression.perron-walk-code	compression, navigator, receipt	P(i → j) = w_ij v_j/(λ v_i), Σ_j P(i → j) = 1;  Σ_(k<n) −log₂ P(w_k → w_(k+1)) = n·log₂ λ − Σ_(k<n) log₂ w_(w_k w_(k+1)) + log₂ v_(w_0) − log₂ v_(w_n);  two-regular graph on 4 states, λ = 2, v ≡ 1: every walk of n steps costs n bits against ⌈log₂ 4⌉·n = 2n	the Perron navigator's code of a walk telescopes to n log₂ λ minus the weights plus a boundary term, so knowing the graph halves the literal code of a two-regular walk	positive eigenvector v, positive eigenvalue λ, positive weights on the walk	L:Compression/Core/Cost:perronCodeLength; L:Compression/Core/Cost:perron_walk_code_length; L:Compression/Core/Cost:two_regular_perron_code; L:Foundation/ReceiverCodeCost:perron_edge_code_balance; L:Foundation/ReceiverCodeCost:perronTransition_normalized	formal-checked	uses:compression.perron-code-balance, uses:compression.serial-code-balance, instance-of:compression.kt-pays-off
compression.motion-energy-balance	compression, parametron, constitution	E(t) = S_C(ẋ(t)) + S_K(x(t)), dE/dt = ⟨C ẍ + K x, ẋ⟩;  E(t) − E(0) = ∫₀ᵗ ⟨C ẍ + K x, ẋ⟩;  x(0) = ẋ(0) = 0, x(t) = cos(ωτ)v, ẋ(t) = −ω sin(ωτ)v, v a generalized mode ⇒ ∫₀ᵗ ⟨C ẍ + K x, ẋ⟩ = ω² S_C(v) > 0	every motion exchanges with the ports exactly its change of stored energy, so founding a mode from rest takes exactly the mode's energy as port work	parametron diagonal constitution, no dissipation; x twice differentiable with continuous ẍ; ω ≠ 0 and positive capacitive storage for the positivity	L:Compression/Core/Resonance:motionEnergy; L:Compression/Core/Resonance:portPower; L:Compression/Core/Resonance:hasDerivAt_diagonalStorage; L:Compression/Core/Resonance:hasDerivAt_motionEnergy; L:Compression/Core/Resonance:motion_work_ledger; L:Compression/Core/Resonance:founding_from_rest_costs_work	formal-checked	generalizes:compression.held-motion-balance, instance-of:compression.resonate-emanate
key.gauge-orbit	key, navigator, contact	gauge (γ, ρ): stages(γ k) = ρ⁻¹ stages(k) ρ elementwise on every menu loop ⇒ closes(γ k, ρ⁻¹S) ⇔ closes(k, S);  gᵐc ∈ fibre ⇔ c ∈ fibre;  fibre(M, g·truth) = fibre(M, truth);  γ reaches every key from truth, at most one consistent S per key ⇒ fibre = {gⁿ·truth}	loop closure is gauge invariant: the consistent keys are a union of gauge orbits, no menu separates the true key from its gauge image, and when the menu pins the boundary at each key the survivors are exactly one gauge orbit	permutation stage words	L:Compression/Core/Keys:Gauge; L:Compression/Core/Keys:Gauge.act; L:Compression/Core/Keys:Gauge.closes_iff; L:Compression/Core/Keys:Gauge.closureMap_act; L:Compression/Core/Keys:fibre_gauge_invariant; L:Compression/Core/Keys:iterate_mem_fibre_iff; L:Compression/Core/Keys:fibre_gauge_truth; L:Compression/Core/Keys:fibre_eq_orbit; R:holonics::compression::Gauge; R:holonics::compression::ReflectorMachine::gauge	formal-checked	uses:key.menu-loop-closure, uses:key.consistent-fibre
landmark.site-kind-matrix	navigator, landmark	det(λ·1 − M) = λ² − (tr M)λ + det M;  rotation ⇔ ∀λ ∈ ℝ, det(λ·1 − M) ≠ 0;  boost ⇔ ∃λ₁ ≠ λ₂ real eigenvalues with λ₁λ₂ > 0;  reflection ⇔ real eigenvalues λ₁ < 0 < λ₂;  degenerate ⇔ det(0·1 − M) = 0;  det M > 0 ⇒ exactly one of: no real eigenvalue, nilpotent traceless part, two real eigenvalues of one sign;  Swing [[0,1],[1,0]]: reflection;  γ² = tr²/(4 det) is invariant under M ↦ sM	the site kinds are proved from the matrix: a rotation has no real eigenvalue, a boost two of one sign, a reflection two of opposite signs; the Lorentz factor of a site is projective, so only at det = 1 is γ = tr/2	real 2×2 material; the projective factor over a field	L:Compression/Landmark/SiteKind:det_sub_eq; L:Compression/Landmark/SiteKind:rotation_iff_no_real_eigenvalue; L:Compression/Landmark/SiteKind:eigenvalues_sum_prod; L:Compression/Landmark/SiteKind:boost_iff_two_real_eigenvalues; L:Compression/Landmark/SiteKind:reflection_iff_opposite_eigenvalues; L:Compression/Landmark/SiteKind:degenerate_iff_zero_eigenvalue; L:Compression/Landmark/SiteKind:site_trichotomy; L:Compression/Landmark/SiteKind:lorentz_factor_sq_smul; L:Compression/Landmark/SiteKind:swing_is_reflection; R:holonics::navigator::trace::SiteFactor::kind; R:holonics::compression::landmark::lorentz_factor_squared	formal-checked	uses:landmark.site-traceless-square, specializes:trace.site-classification
